User_ID,Age,Gender,Occupation,Country_Region,Stress_Level_Before,Stress_Level_After,Mood_Score,Sleep_Hours,Meditation_Minutes_Per_Day,Yoga_Minutes_Per_Day,Affirmations_Per_Day,Reels_Viewed_Per_Day,Podcast_Listening_Minutes,Audiobook_Listening_Minutes,App_Usage_Minutes_Per_Day,Streak_Days,Challenge_Participation,Subscription_Type,Productivity_Score,Mindfulness_Score,User_Satisfaction
USR0445,18,Female,Working Professional,India,9.3,8.5,5.6,7.7,28.4,0.9,2,6,1.1,0.8,43.6,8,No,Free,4.0,44.5,2.6
USR0446,38,Male,Freelancer,India,6.0,5.8,7.2,7.5,9.8,1.4,1,7,2.2,4.7,33.7,9,No,Free,3.8,69.9,4.6
USR0447,35,Male,Student,UAE,5.5,3.9,8.5,9.2,30.7,5.8,3,5,46.3,5.0,75.7,21,No,Free,5.7,86.0,6.2
USR0448,22,Female,Retired,UK,4.5,2.8,9.2,6.0,6.7,33.8,4,11,6.6,15.0,77.0,17,No,Free,4.8,56.2,4.1
USR0449,26,Male,Student,Canada,6.3,5.2,9.9,8.0,39.2,14.2,2,5,1.6,15.8,80.6,42,Yes,Free,5.3,81.0,6.6
USR0450,21,Male,Working Professional,UAE,7.5,5.9,6.9,8.9,28.0,32.3,5,10,34.5,13.5,112.8,61,Yes,Premium,6.1,65.3,5.8
USR0451,31,Male,Homemaker,USA,6.7,6.6,6.8,5.9,4.5,5.5,1,9,1.6,3.7,34.1,12,Yes,Free,4.1,30.2,3.6
USR0452,41,Female,Working Professional,UK,8.7,8.3,7.0,6.6,22.5,8.5,5,10,16.5,49.5,83.3,35,No,Premium,2.7,84.1,5.6
USR0453,22,Female,Working Professional,India,4.7,2.9,8.9,9.0,21.4,51.9,3,9,34.4,31.2,122.0,102,Yes,Premium,7.6,88.9,7.7
USR0454,37,Female,Working Professional,India,7.3,7.2,7.0,7.1,2.2,0.2,3,10,17.9,40.8,62.2,41,No,Free,4.4,51.3,5.2
USR0455,26,Male,Retired,Germany,6.9,5.2,7.3,6.7,23.4,43.4,6,4,15.8,36.5,104.9,30,No,Premium,6.5,84.3,5.8
USR0456,24,Female,Working Professional,Australia,7.9,7.8,5.9,5.1,5.7,5.5,0,10,12.3,7.7,48.8,11,No,Free,3.1,38.9,2.6
USR0457,30,Female,Retired,USA,2.4,1.0,8.0,5.1,10.8,8.1,4,11,26.4,12.0,56.6,22,No,Premium,4.2,57.1,5.7
USR0458,21,Female,Student,USA,6.4,4.7,8.5,6.7,44.5,14.0,2,10,15.8,14.9,106.7,33,No,Free,4.8,75.2,5.6
USR0459,26,Female,Homemaker,USA,7.2,6.3,6.4,6.2,15.4,47.3,2,5,26.8,6.5,110.8,19,No,Free,5.3,52.4,3.9
USR0460,20,Male,Homemaker,India,4.8,2.9,9.6,6.7,31.4,40.4,2,9,6.6,8.3,104.4,26,Yes,Free,6.3,85.0,6.8
USR0461,51,Female,Student,India,5.2,4.1,10.0,4.4,16.9,2.1,7,11,11.3,8.3,53.9,35,No,Free,3.6,58.6,6.0
USR0462,32,Male,Working Professional,India,7.8,7.9,6.7,5.0,6.6,2.4,3,6,31.5,41.4,71.6,43,Yes,Free,2.1,41.1,4.2
USR0463,25,Female,Student,India,7.4,6.6,7.5,5.5,10.8,10.0,6,4,51.2,1.1,60.5,14,No,Free,3.1,75.7,4.3
USR0464,34,Male,Freelancer,Germany,6.3,5.1,7.7,6.7,16.9,12.2,3,9,44.4,3.2,76.7,13,No,Free,5.0,70.3,4.5
USR0465,30,Male,Working Professional,India,6.0,3.6,9.3,7.1,48.4,16.1,4,3,13.0,14.0,78.7,46,No,Free,6.3,77.6,6.0
USR0466,29,Male,Freelancer,India,4.0,3.6,8.4,6.6,4.4,2.4,3,1,14.7,32.3,41.4,14,Yes,Free,5.2,36.3,3.8
USR0467,38,Female,Student,USA,8.4,6.2,7.8,8.0,31.2,38.3,3,10,15.1,37.5,126.6,47,Yes,Free,6.4,81.6,5.3
USR0468,39,Male,Working Professional,Germany,10.0,8.8,7.3,4.6,38.7,12.2,5,7,40.6,12.3,95.5,13,Yes,Free,2.8,72.6,4.5
USR0469,26,Female,Student,India,4.6,3.2,8.2,8.2,16.6,22.5,1,10,36.6,0.5,80.4,57,No,Free,6.6,84.3,6.5
USR0470,26,Male,Working Professional,India,8.5,6.5,9.3,8.1,50.2,17.3,6,9,22.5,16.8,108.5,39,Yes,Premium,5.3,96.7,6.9
USR0471,29,Male,Working Professional,USA,6.7,6.4,7.1,7.1,7.6,6.4,3,10,3.6,37.7,69.5,11,Yes,Free,4.1,46.8,3.5
USR0472,18,Female,Retired,Australia,6.5,4.0,9.3,6.7,55.9,53.4,2,8,24.5,20.4,154.9,46,Yes,Premium,6.3,100.0,7.4
USR0473,18,Male,Freelancer,UK,5.9,5.8,8.8,8.2,18.2,10.5,3,11,6.8,19.5,68.5,48,Yes,Free,5.5,75.2,6.0
USR0474,45,Female,Working Professional,Germany,10.0,8.1,5.0,5.3,10.6,32.2,5,10,75.2,14.7,110.7,36,No,Premium,3.3,48.7,4.0
USR0475,48,Female,Entrepreneur,Singapore,5.8,4.1,6.9,8.8,35.6,36.8,3,9,6.2,0.4,104.3,14,No,Free,7.1,80.7,4.2
USR0476,29,Male,Freelancer,Australia,5.1,4.8,8.2,5.2,9.9,13.5,1,8,4.0,13.0,49.9,22,No,Free,4.3,64.9,4.7
USR0477,37,Male,Entrepreneur,UK,7.1,6.0,7.4,8.3,9.3,9.6,2,7,45.9,27.0,82.1,44,Yes,Free,5.5,50.9,4.5
USR0478,35,Male,Working Professional,USA,7.9,7.5,8.0,7.9,12.5,0.0,3,4,1.8,69.5,63.6,9,Yes,Free,4.5,39.4,4.2
USR0479,62,Non-Binary,Working Professional,India,9.0,8.6,5.0,7.9,2.4,0.5,2,10,6.0,28.1,50.8,6,No,Free,4.6,75.2,3.5
USR0480,43,Female,Student,Singapore,7.7,7.9,6.9,7.2,9.5,2.7,3,9,11.6,12.1,45.7,6,No,Free,3.4,66.7,4.0
USR0481,30,Female,Freelancer,USA,6.3,4.6,8.4,8.0,36.7,10.5,3,11,33.1,24.1,106.4,31,Yes,Premium,6.2,72.0,6.5
USR0482,22,Female,Student,India,6.3,5.8,8.5,6.6,0.2,3.5,6,10,7.9,26.1,48.4,5,Yes,Free,4.2,29.6,3.4
USR0483,18,Male,Working Professional,Canada,7.8,7.4,4.6,5.4,4.8,4.4,0,8,13.7,0.3,37.9,15,No,Free,2.7,41.5,2.9
USR0484,34,Male,Working Professional,India,5.9,4.7,8.0,8.0,10.0,13.4,4,20,19.4,55.4,107.6,50,Yes,Premium,5.7,80.1,7.0
USR0485,24,Female,Working Professional,UK,7.3,6.1,7.8,6.3,8.1,6.5,1,14,17.1,11.4,66.3,31,No,Free,4.4,64.5,4.3
USR0486,18,Male,Freelancer,UK,5.7,4.1,8.2,6.8,29.5,9.2,3,14,25.5,55.6,107.0,46,No,Premium,4.9,64.4,6.3
USR0487,25,Male,Student,USA,5.5,4.6,8.5,5.3,24.0,0.5,4,10,37.8,21.7,75.7,15,No,Free,3.4,55.1,4.3
USR0488,21,Male,Working Professional,Germany,9.3,7.2,7.9,6.9,53.6,21.4,4,17,25.7,12.5,128.4,54,Yes,Premium,5.0,99.7,6.9
USR0489,48,Female,Freelancer,India,4.5,4.2,8.7,7.1,14.1,9.2,2,6,11.7,2.7,48.0,22,No,Free,4.7,53.1,4.7
USR0490,40,Non-Binary,Entrepreneur,USA,6.4,6.0,6.8,8.5,14.4,15.0,4,13,32.9,16.5,88.8,63,Yes,Premium,5.3,63.3,5.4
USR0491,31,Male,Freelancer,USA,3.6,1.5,10.0,7.4,48.7,20.1,8,10,17.6,14.6,111.7,39,Yes,Premium,6.9,91.1,6.4
USR0492,46,Female,Entrepreneur,Canada,6.7,6.0,7.9,7.0,22.4,21.1,1,5,3.4,8.7,62.6,10,No,Free,5.8,66.5,4.2
USR0493,32,Male,Homemaker,Australia,6.7,6.1,8.4,5.2,12.8,6.7,6,4,31.2,13.9,53.8,26,No,Free,3.3,49.5,4.3
USR0494,23,Non-Binary,Working Professional,USA,5.6,4.1,8.7,6.5,17.8,12.3,3,9,6.4,8.6,61.7,9,Yes,Free,5.3,64.7,4.3
USR0495,47,Male,Student,UK,4.3,1.9,10.0,9.8,48.7,44.8,4,5,38.1,10.9,139.8,95,No,Premium,7.5,83.9,7.5
USR0496,37,Male,Freelancer,India,5.4,4.2,8.8,6.0,18.7,22.0,5,5,2.1,55.7,94.9,34,Yes,Free,4.5,80.4,5.2
USR0497,21,Female,Freelancer,UAE,5.8,4.9,9.0,6.3,6.9,6.7,6,6,34.5,8.3,54.9,34,Yes,Free,4.1,55.0,4.5
USR0498,30,Female,Freelancer,USA,5.6,4.7,8.3,8.7,18.7,12.4,1,7,88.8,28.6,109.7,34,Yes,Free,5.3,61.4,4.1
USR0499,23,Female,Working Professional,Canada,9.4,9.4,4.6,8.0,0.6,2.3,2,4,9.4,1.2,23.1,4,No,Free,3.7,16.2,2.8
USR0500,18,Male,Working Professional,India,7.5,6.6,6.6,9.2,7.3,9.9,7,5,14.1,24.9,50.6,18,No,Free,5.0,67.9,4.3
USR0501,41,Male,Working Professional,India,7.4,5.7,8.5,8.5,17.8,55.8,10,11,26.7,12.9,119.5,48,Yes,Premium,6.6,95.8,6.4
USR0502,51,Male,Working Professional,USA,7.5,7.3,5.4,6.8,2.7,8.8,3,4,44.9,17.1,56.1,11,No,Free,3.2,45.0,2.7
USR0503,18,Male,Student,UAE,7.5,6.5,8.2,8.1,10.4,39.5,6,8,15.2,26.3,90.6,47,Yes,Premium,5.4,57.6,5.2
USR0504,37,Female,Homemaker,USA,5.3,5.5,7.0,5.3,2.1,6.3,5,7,21.2,36.1,60.5,40,Yes,Free,3.3,41.0,3.1
USR0505,25,Male,Student,UAE,5.6,3.6,7.8,7.3,15.9,60.0,2,11,21.1,5.8,108.7,17,No,Free,7.0,71.2,4.5
USR0506,27,Male,Student,USA,10.0,8.8,7.4,5.4,24.3,10.4,0,11,9.6,1.7,57.3,10,No,Free,2.7,45.7,4.1
USR0507,26,Female,Working Professional,USA,6.8,5.2,8.7,9.4,66.6,0.5,4,3,5.0,30.0,94.3,52,Yes,Free,5.7,84.6,5.7
USR0508,23,Non-Binary,Freelancer,India,6.0,4.6,8.6,5.2,16.4,18.6,3,13,20.5,16.0,86.7,24,Yes,Premium,4.1,62.4,5.7
USR0509,32,Female,Working Professional,Germany,7.1,5.8,8.7,6.2,23.7,11.9,6,11,47.2,14.0,94.5,30,Yes,Premium,3.9,70.3,6.2
USR0510,23,Male,Working Professional,India,5.9,4.2,10.0,6.0,41.5,0.4,5,9,1.4,10.0,75.8,18,No,Free,5.0,85.1,6.2
USR0511,34,Male,Working Professional,UAE,7.3,6.2,6.8,8.0,2.7,20.6,3,8,16.6,2.4,46.5,27,Yes,Free,5.1,68.4,4.6
USR0512,31,Non-Binary,Working Professional,UAE,5.1,4.6,8.4,7.2,19.0,3.9,2,4,7.3,5.3,47.8,121,Yes,Free,5.3,67.9,6.6
USR0513,29,Male,Entrepreneur,Singapore,8.1,6.3,7.8,8.0,31.1,27.1,4,8,21.2,17.3,92.3,33,Yes,Premium,4.4,80.3,6.4
USR0514,22,Male,Entrepreneur,USA,6.6,5.4,9.7,5.7,11.4,12.1,3,11,29.1,14.9,66.6,81,No,Premium,4.5,66.5,6.4
USR0515,26,Female,Working Professional,Canada,8.7,7.4,6.3,9.0,39.6,10.6,8,11,60.6,19.0,110.0,35,Yes,Premium,5.5,93.8,5.4
USR0516,39,Female,Working Professional,Australia,7.8,5.3,8.1,6.0,25.2,43.8,4,10,19.3,7.3,101.7,34,Yes,Free,5.5,77.2,5.1
USR0517,37,Female,Freelancer,India,6.6,6.3,7.0,6.1,0.5,5.4,2,7,31.1,22.3,66.3,10,Yes,Free,4.1,55.8,3.8
USR0518,22,Male,Student,UK,5.8,5.8,7.3,6.5,1.4,11.0,3,6,18.4,37.6,62.1,19,Yes,Free,3.8,73.1,5.3
USR0519,32,Male,Working Professional,India,7.1,7.1,5.7,6.9,0.8,11.3,4,5,23.9,1.6,33.1,44,No,Free,3.4,59.1,4.6
USR0520,39,Non-Binary,Working Professional,USA,8.1,7.7,5.3,6.2,6.1,9.9,5,9,11.3,26.0,50.3,13,Yes,Free,3.7,50.7,3.4
USR0521,18,Male,Entrepreneur,India,7.2,5.8,6.2,9.0,10.7,29.5,1,8,52.1,40.3,108.8,13,Yes,Free,6.1,53.3,3.8
USR0522,37,Female,Student,India,5.0,4.5,8.7,6.9,11.4,13.5,0,13,13.9,17.4,70.9,22,No,Free,4.3,45.3,3.8
USR0523,25,Female,Working Professional,USA,8.5,7.6,7.2,8.4,14.7,14.2,7,10,31.0,90.0,111.2,38,Yes,Premium,4.7,74.3,6.1
USR0524,37,Female,Freelancer,USA,7.1,4.7,7.5,6.1,46.4,31.8,3,11,29.9,16.1,136.1,34,Yes,Premium,5.3,85.0,6.0
USR0525,24,Male,Working Professional,UK,4.7,4.4,9.5,7.0,6.9,2.4,4,8,7.6,26.6,43.9,52,No,Free,4.4,52.5,4.8
USR0526,18,Male,Student,India,7.2,6.1,8.9,5.9,0.7,9.4,4,6,5.3,16.8,44.8,23,No,Free,3.5,67.6,4.2
USR0527,18,Female,Entrepreneur,USA,8.2,6.2,7.7,6.5,5.4,36.1,5,12,1.5,5.9,77.3,16,Yes,Free,4.9,59.4,3.7
USR0528,32,Female,Working Professional,India,6.1,4.5,8.9,5.1,21.4,19.8,4,12,40.3,28.3,115.5,138,Yes,Premium,4.8,78.1,7.0
USR0529,34,Non-Binary,Freelancer,UK,4.0,3.0,9.4,8.2,17.9,28.4,5,12,21.8,20.7,107.8,29,Yes,Premium,5.9,60.8,4.4
USR0530,22,Male,Working Professional,UK,5.4,4.7,7.9,9.0,14.8,20.7,5,10,24.9,13.1,83.0,61,Yes,Premium,5.2,66.9,5.3
USR0531,38,Male,Working Professional,UK,6.8,4.9,6.9,8.4,12.1,29.9,6,13,65.5,12.9,110.9,31,Yes,Premium,6.3,59.8,5.1
USR0532,18,Non-Binary,Working Professional,Australia,8.4,7.5,6.3,8.2,25.7,34.7,4,10,16.7,18.7,104.9,16,Yes,Free,5.6,70.6,4.1
USR0533,31,Female,Student,USA,5.4,2.8,10.0,10.0,83.4,3.8,2,8,2.0,18.7,122.6,26,No,Free,8.5,78.7,4.9
USR0534,19,Female,Student,Australia,5.4,4.4,8.5,7.0,6.0,2.2,1,6,32.1,11.4,39.7,26,Yes,Free,4.9,43.4,4.0
USR0535,25,Male,Homemaker,USA,5.5,5.1,7.7,8.5,7.2,7.9,3,10,5.9,10.4,40.8,28,No,Free,5.8,46.9,4.1
USR0536,32,Female,Working Professional,USA,8.0,7.1,7.7,7.0,24.4,22.5,8,10,31.1,13.0,98.8,25,No,Premium,3.5,67.6,5.7
USR0537,23,Female,Student,UK,9.6,8.5,6.6,7.5,19.0,3.1,4,15,14.3,8.4,72.8,14,No,Free,3.8,49.5,3.9
USR0538,28,Female,Working Professional,India,7.1,7.3,6.8,7.9,7.5,0.0,2,5,5.4,30.8,50.5,27,No,Free,3.8,46.7,4.1
USR0539,42,Male,Homemaker,Canada,5.0,4.3,8.6,5.0,35.3,5.0,5,10,2.5,28.9,79.9,52,No,Free,5.5,47.3,5.2
USR0540,26,Male,Student,UK,5.8,4.1,8.9,7.1,22.3,49.6,2,8,19.7,26.2,118.5,49,No,Premium,5.4,81.3,5.6
USR0541,40,Female,Working Professional,USA,9.1,8.0,5.6,6.5,9.0,14.2,3,7,2.0,89.0,86.9,15,No,Free,3.0,58.2,4.3
USR0542,20,Male,Student,India,5.1,4.3,9.3,6.8,25.6,14.2,7,6,21.4,43.5,100.4,39,No,Premium,4.9,75.0,6.8
USR0543,37,Female,Student,India,7.3,6.2,7.2,6.2,45.8,2.6,6,6,118.3,2.4,125.8,33,Yes,Free,4.3,74.8,4.6
USR0544,46,Non-Binary,Student,UAE,9.0,7.5,6.0,7.0,23.7,5.3,2,8,10.3,7.6,56.0,9,No,Free,3.9,70.4,2.6
USR0545,18,Male,Homemaker,Canada,5.8,5.5,7.1,7.0,0.6,2.2,4,5,39.9,2.1,40.5,20,No,Free,4.7,42.3,4.4
USR0546,24,Female,Student,India,5.4,4.7,8.8,5.1,16.1,9.3,7,7,30.9,19.4,69.1,35,No,Premium,4.9,48.3,3.8
USR0547,37,Male,Student,USA,7.8,7.3,6.8,6.7,9.5,28.5,1,8,22.0,22.5,81.9,16,No,Free,4.7,59.5,4.3
USR0548,29,Female,Working Professional,UK,7.2,5.1,7.7,7.4,15.7,60.0,6,11,18.4,12.5,122.2,47,Yes,Premium,7.2,99.0,6.3
USR0549,35,Non-Binary,Homemaker,Germany,6.7,5.4,6.9,8.0,18.1,2.2,4,5,6.4,31.9,57.6,26,No,Free,5.6,73.1,4.4
USR0550,25,Male,Working Professional,India,7.9,7.5,8.4,7.4,26.3,0.7,7,7,14.3,12.6,58.0,77,Yes,Free,3.9,81.1,6.0
USR0551,32,Male,Working Professional,India,7.8,6.4,7.9,6.1,29.7,12.8,5,11,57.6,30.7,109.9,37,Yes,Premium,4.3,92.9,6.3
USR0552,30,Female,Student,UAE,7.4,4.9,9.2,8.4,68.1,7.4,4,10,0.9,0.7,98.6,25,Yes,Free,6.8,81.0,4.5
USR0553,43,Male,Working Professional,India,8.0,7.4,7.0,6.3,4.8,2.8,3,7,14.1,1.5,26.2,6,No,Free,2.9,44.1,3.4
USR0554,34,Female,Working Professional,India,9.0,7.2,7.0,7.4,41.2,12.3,5,10,16.0,24.5,103.3,41,Yes,Premium,4.7,73.6,4.8
USR0555,35,Female,Working Professional,Singapore,5.8,4.3,9.2,5.3,21.8,2.7,1,2,12.2,27.3,60.3,7,No,Free,4.6,29.2,3.5
USR0556,27,Female,Working Professional,UK,6.6,6.0,8.0,6.6,16.7,25.9,2,11,34.8,41.1,114.8,30,Yes,Premium,5.6,77.0,5.8
USR0557,27,Male,Working Professional,India,8.2,6.7,7.8,8.4,19.9,15.0,10,8,27.3,17.5,81.2,12,Yes,Free,5.1,70.9,5.1
USR0558,27,Female,Student,India,6.9,5.3,7.8,6.0,1.6,12.1,5,8,3.0,3.4,31.4,23,No,Free,4.2,48.2,3.8
USR0559,35,Female,Working Professional,India,5.1,3.7,8.5,8.9,23.4,5.9,1,7,3.6,3.3,54.0,22,No,Free,6.3,55.4,5.5
USR0560,27,Male,Student,India,7.5,6.4,8.8,8.0,21.4,36.8,5,7,27.7,42.0,114.5,58,Yes,Premium,4.6,65.7,5.6
USR0561,34,Female,Homemaker,UAE,5.3,4.2,8.4,6.4,5.2,41.9,1,7,120.0,1.8,132.2,26,No,Free,5.1,59.9,4.3
USR0562,52,Female,Entrepreneur,USA,10.0,8.5,7.0,7.1,26.0,10.3,3,12,23.8,27.4,98.9,38,Yes,Premium,3.6,59.4,5.5
USR0563,40,Female,Entrepreneur,Canada,8.5,7.4,7.2,5.0,25.4,11.0,3,16,26.2,21.4,88.0,27,Yes,Premium,3.9,58.7,4.7
USR0564,28,Male,Retired,UAE,7.7,7.2,6.7,5.7,3.5,8.9,2,6,11.3,8.2,44.0,32,Yes,Free,3.1,41.9,3.9
USR0565,44,Female,Freelancer,USA,6.1,6.1,8.5,4.8,0.5,1.1,0,8,1.7,8.7,28.0,3,No,Free,3.7,41.3,3.6
USR0566,27,Male,Freelancer,India,6.5,6.1,7.1,5.2,8.5,6.9,3,10,29.8,43.6,89.9,20,No,Free,3.8,47.8,3.7
USR0567,18,Male,Working Professional,USA,6.5,5.4,7.9,5.6,12.6,10.5,2,3,5.8,29.6,59.7,10,Yes,Free,4.0,67.0,4.7
USR0568,21,Female,Freelancer,UAE,4.7,2.8,10.0,6.1,31.4,8.9,9,7,24.3,30.0,86.6,38,No,Free,5.1,81.1,6.7
USR0569,18,Female,Working Professional,Germany,5.6,3.3,10.0,7.1,49.5,12.8,4,10,27.9,17.8,116.9,49,Yes,Premium,5.7,66.4,6.4
USR0570,28,Male,Working Professional,India,10.0,8.3,7.3,5.5,21.3,17.4,7,17,33.9,11.7,95.8,49,Yes,Premium,4.3,77.4,6.0
USR0571,32,Male,Homemaker,Canada,6.6,4.2,7.8,8.1,31.0,46.3,5,10,16.1,90.0,158.8,34,Yes,Premium,5.5,83.7,6.4
USR0572,48,Male,Working Professional,UK,5.0,3.9,10.0,6.6,18.7,10.8,4,16,59.1,12.4,97.3,47,No,Premium,5.0,64.0,6.0
USR0573,35,Male,Working Professional,UAE,8.4,6.5,7.7,7.4,30.6,20.8,5,7,20.6,20.9,93.0,48,Yes,Premium,5.1,72.3,5.3
USR0574,29,Male,Entrepreneur,India,10.0,9.8,5.5,4.0,3.4,0.5,3,5,22.2,4.6,41.2,4,Yes,Free,1.0,58.5,3.0
USR0575,40,Male,Student,USA,4.7,3.6,9.9,6.6,17.0,8.8,5,12,47.0,20.7,85.8,31,Yes,Premium,5.7,50.7,5.1
USR0576,18,Female,Working Professional,UAE,7.9,6.2,7.6,7.8,25.1,17.6,4,16,30.5,15.5,84.5,25,Yes,Premium,5.2,65.6,4.6
USR0577,34,Female,Entrepreneur,USA,5.3,4.1,8.6,4.0,0.3,1.3,5,10,8.2,34.1,44.0,27,No,Free,3.8,34.0,4.6
USR0578,39,Female,Freelancer,USA,7.7,6.0,8.1,6.9,29.2,8.3,5,11,91.2,61.8,147.9,35,Yes,Premium,5.1,73.4,4.8
USR0579,18,Female,Working Professional,India,3.8,2.7,9.1,5.7,27.1,2.3,2,7,6.5,7.9,65.0,13,No,Free,5.5,57.9,5.0
USR0580,43,Male,Working Professional,India,7.1,6.4,7.9,8.8,17.6,18.0,5,8,74.4,11.1,96.8,26,Yes,Premium,5.7,54.5,4.3
USR0581,35,Non-Binary,Working Professional,USA,7.7,6.3,7.3,5.1,18.9,22.6,6,11,18.4,26.3,82.4,36,No,Premium,4.4,70.7,6.3
USR0582,27,Female,Retired,Singapore,3.9,1.5,9.7,10.0,38.6,10.7,6,10,24.9,17.1,93.0,25,Yes,Premium,7.7,87.7,6.7
USR0583,38,Female,Working Professional,India,7.7,6.7,7.7,8.1,22.4,13.2,2,13,3.0,64.0,103.4,48,Yes,Free,5.4,64.1,4.6
USR0584,54,Female,Working Professional,USA,6.3,5.1,9.4,7.0,15.1,10.4,6,13,15.0,11.4,67.1,22,No,Premium,6.1,46.1,4.8
USR0585,33,Female,Student,Canada,9.6,9.2,5.4,4.9,5.9,11.4,5,5,6.0,1.9,28.8,4,No,Free,2.1,54.1,3.3
USR0586,34,Female,Student,India,4.9,3.4,8.5,6.0,17.0,6.4,3,10,1.8,18.0,61.1,27,No,Free,5.1,60.6,5.1
USR0587,27,Male,Entrepreneur,USA,8.4,7.7,7.0,7.3,22.4,20.7,4,16,100.9,31.3,148.4,80,Yes,Premium,4.9,64.5,6.0
USR0588,23,Female,Working Professional,Australia,6.9,5.7,7.4,7.1,2.7,60.0,2,7,28.7,9.6,110.3,56,Yes,Free,4.6,90.1,5.8
USR0589,40,Female,Freelancer,Germany,7.9,6.3,6.0,5.7,15.6,41.3,4,11,15.1,14.9,88.1,26,Yes,Premium,5.5,54.3,4.0
USR0590,23,Female,Student,UK,9.0,7.1,7.0,8.0,34.5,0.1,2,4,5.1,5.6,61.7,13,No,Free,5.1,36.1,3.3
USR0591,32,Female,Freelancer,Canada,5.6,3.6,10.0,7.0,17.5,26.0,4,9,22.2,6.2,82.1,23,No,Free,5.7,55.5,5.7
USR0592,27,Male,Entrepreneur,India,6.9,4.6,10.0,8.2,74.0,8.8,4,9,25.2,13.8,122.5,28,No,Premium,6.4,69.0,7.1
USR0593,36,Male,Working Professional,Singapore,8.4,7.3,8.5,8.3,21.9,36.7,3,10,35.7,28.5,107.5,26,No,Free,5.7,78.5,5.9
USR0594,35,Female,Student,India,7.8,6.9,8.1,8.2,42.7,4.0,2,7,14.1,1.0,65.5,18,Yes,Free,4.6,78.0,4.6
USR0595,42,Female,Working Professional,Australia,6.8,6.6,7.1,8.4,13.7,13.8,6,11,36.2,17.8,77.2,40,Yes,Premium,5.8,47.9,5.5
USR0596,26,Female,Homemaker,India,4.7,4.1,9.2,7.3,22.1,1.2,6,6,18.2,20.7,57.7,56,Yes,Free,5.7,55.1,5.2
USR0597,29,Male,Working Professional,UAE,7.5,6.9,7.9,6.4,10.3,9.4,7,11,35.3,10.1,68.4,28,Yes,Premium,3.8,49.1,4.8
USR0598,22,Male,Retired,Canada,4.3,4.5,8.2,6.4,16.7,15.6,4,13,5.2,31.6,87.6,29,No,Free,5.6,61.7,4.2
USR0599,27,Female,Freelancer,Australia,7.0,5.6,6.3,8.6,9.5,34.7,3,4,9.3,18.4,73.7,19,No,Free,4.8,66.3,4.3
USR0600,35,Female,Retired,India,7.7,7.0,7.9,5.3,6.4,11.3,5,8,1.0,1.1,33.0,15,No,Free,2.9,70.5,4.3
USR0601,39,Female,Freelancer,USA,4.8,2.8,8.8,6.1,29.8,15.1,0,2,17.7,33.8,78.6,29,Yes,Free,5.5,66.6,5.8
USR0602,22,Female,Student,UK,6.4,5.3,8.8,7.6,28.9,17.2,4,7,12.3,10.0,79.4,68,Yes,Free,5.4,69.0,7.1
USR0603,40,Female,Working Professional,Australia,6.1,5.8,6.0,6.5,0.3,3.7,2,7,28.6,15.8,42.9,44,No,Free,4.2,44.8,3.9
USR0604,45,Male,Working Professional,India,8.6,7.7,6.2,5.1,14.1,0.6,3,8,4.6,32.1,54.5,26,No,Free,3.1,55.3,4.2
USR0605,36,Female,Entrepreneur,Singapore,7.1,6.4,7.6,7.0,6.9,0.0,4,8,11.5,31.9,56.4,18,No,Free,4.6,52.8,4.0
USR0606,50,Female,Homemaker,UAE,5.5,4.5,9.0,6.9,8.1,5.2,6,4,4.0,7.9,38.5,15,No,Free,3.9,54.9,4.7
USR0607,24,Female,Freelancer,India,7.0,5.8,8.6,9.6,26.8,3.3,4,10,19.0,4.1,63.9,37,No,Free,4.7,65.1,4.9
USR0608,19,Female,Working Professional,Germany,6.3,5.3,7.6,6.5,5.6,0.8,2,10,37.7,4.5,47.6,10,No,Free,3.4,46.8,4.0
USR0609,18,Female,Student,USA,6.7,4.0,9.7,9.4,53.0,10.4,5,8,44.0,31.8,133.1,46,No,Premium,6.2,67.2,6.4
USR0610,46,Male,Homemaker,USA,4.3,3.0,9.4,8.3,13.0,9.6,3,8,72.7,49.8,102.3,39,No,Premium,5.9,59.3,5.9
USR0611,38,Female,Working Professional,USA,8.3,6.1,8.4,5.3,26.3,37.6,7,7,86.3,11.1,145.1,50,No,Premium,4.5,71.2,6.4
USR0612,31,Male,Working Professional,UK,5.4,4.4,9.0,6.8,16.7,1.8,4,6,29.6,0.2,60.5,10,No,Free,4.9,58.0,4.4
USR0613,34,Female,Freelancer,Canada,8.1,6.1,6.7,7.0,14.4,17.3,4,10,21.8,36.0,85.2,47,Yes,Premium,4.8,68.0,6.7
USR0614,20,Male,Student,USA,7.4,6.0,9.4,7.0,15.9,18.8,6,10,20.0,17.3,72.3,42,Yes,Premium,4.8,78.6,6.1
USR0615,56,Male,Working Professional,UK,6.8,4.7,8.6,6.0,37.0,17.4,4,11,26.9,14.9,102.0,29,No,Premium,4.3,72.3,5.4
USR0616,33,Female,Working Professional,Canada,7.0,6.6,7.4,8.0,21.5,1.3,3,7,101.9,3.1,102.4,22,No,Free,4.6,51.5,2.9
USR0617,33,Male,Student,Canada,9.6,8.2,6.4,6.6,16.0,12.6,4,9,25.6,16.4,71.2,45,No,Premium,3.5,70.7,5.7
USR0618,39,Female,Entrepreneur,India,5.0,4.6,8.5,8.4,21.5,8.6,2,12,19.4,63.4,92.9,71,Yes,Premium,6.2,64.1,4.7
